Supplementary text for Orton et al. 2014. Mid-Infrared Spectroscopy of Uranus from the
Spitzer Infared Spectrometer: 1. Determination of the Mean Temperature Structure of the
Upper Troposphere and Stratosphere.

wl=wavelength (micrometers)
wn=wavenumber (cm-1)
rad=radiance (W cm-1 sr-1 (cm-1)-1); sigma = 1 standard deviation)
Tb=brightness temperature (K); sigma = 1 standard deviation)


Short-Low1 spectrum

    wl      wn         rad        sigma(rad)     Tb      sigma(Tb)    
   11  18.28     547.07    1.058e-03    2.292e-05     54.56     0.08
   11  18.29     546.65    1.052e-03    2.041e-05     54.51     0.07
   11  18.31     546.23    1.058e-03    2.383e-05     54.49     0.09
   11  18.34     545.39    1.085e-03    1.971e-05     54.52     0.07
   11  18.35     544.97    1.082e-03    2.062e-05     54.48     0.07
   11  18.36     544.55    1.091e-03    2.277e-05     54.48     0.08
   11  18.38     544.13    1.098e-03    2.099e-05     54.47     0.07
   11  18.39     543.72    1.089e-03    1.896e-05     54.40     0.07
   11  18.41     543.29    1.100e-03    2.096e-05     54.41     0.07
   11  18.42     542.88    1.103e-03    2.180e-05     54.38     0.07
   11  18.43     542.46    1.110e-03    2.340e-05     54.38     0.08
   11  18.45     542.04    1.143e-03    2.818e-05     54.45     0.09
   11  18.49     540.79    1.155e-03    2.319e-05     54.39     0.08
   11  18.53     539.55    1.170e-03    8.564e-06     54.35     0.03
   11  18.55     539.13    1.213e-03    2.566e-05     54.45     0.08
   11  18.56     538.72    1.240e-03    3.065e-05     54.50     0.09
   11  18.63     536.65    1.309e-03    2.229e-05     54.54     0.07
   11  18.65     536.24    1.314e-03    2.544e-05     54.52     0.07
   11  18.66     535.83    1.316e-03    2.183e-05     54.50     0.06
   11  18.68     535.41    1.328e-03    2.239e-05     54.50     0.06
   11  18.69     535.00    1.328e-03    2.355e-05     54.47     0.07
   11  18.71     534.59    1.343e-03    2.188e-05     54.48     0.06
   11  18.72     534.18    1.350e-03    2.766e-05     54.46     0.08
   11  18.73     533.77    1.346e-03    2.389e-05     54.42     0.07
   11  18.75     533.36    1.373e-03    2.318e-05     54.46     0.07
   11  18.78     532.54    1.395e-03    2.240e-05     54.46     0.06
   11  18.79     532.13    1.371e-03    2.534e-05     54.36     0.07
   11  18.81     531.72    1.408e-03    2.941e-05     54.43     0.08
   11  18.82     531.31    1.431e-03    2.976e-05     54.46     0.08
   11  18.84     530.90    1.438e-03    3.010e-05     54.45     0.08
   11  18.85     530.49    1.455e-03    2.436e-05     54.46     0.07
   11  18.86     530.09    1.438e-03    2.391e-05     54.38     0.06
   11  18.88     529.68    1.446e-03    2.590e-05     54.37     0.07
   11  18.89     529.27    1.474e-03    2.627e-05     54.41     0.07
   11  18.92     528.46    1.484e-03    2.818e-05     54.37     0.07
   11  18.94     528.05    1.530e-03    3.342e-05     54.46     0.09
   11  18.95     527.64    1.534e-03    2.723e-05     54.43     0.07
   11  18.97     527.24    1.537e-03    2.846e-05     54.41     0.07
   11  18.98     526.83    1.553e-03    3.208e-05     54.42     0.08
   11  19.00     526.43    1.580e-03    3.190e-05     54.45     0.08
   11  19.01     526.02    1.572e-03    2.862e-05     54.40     0.07
   11  19.03     525.62    1.565e-03    3.311e-05     54.35     0.08
   11  19.04     525.22    1.592e-03    3.320e-05     54.38     0.08
   11  19.10     523.60    1.609e-03    2.536e-05     54.29     0.06
   11  19.11     523.20    1.657e-03    3.935e-05     54.37     0.09
   11  19.13     522.80    1.658e-03    3.988e-05     54.34     0.09
   11  19.14     522.40    1.670e-03    3.248e-05     54.34     0.08
   11  19.16     521.99    1.655e-03    4.108e-05     54.27     0.10
   11  19.17     521.59    1.710e-03    2.875e-05     54.37     0.07
   11  19.19     521.19    1.682e-03    2.666e-05     54.27     0.06
   11  19.20     520.79    1.686e-03    2.239e-05     54.25     0.05
   11  19.22     520.39    1.729e-03    3.245e-05     54.31     0.07
   11  19.23     519.99    1.734e-03    3.473e-05     54.29     0.08
   11  19.25     519.59    1.740e-03    3.073e-05     54.27     0.07
   11  19.26     519.19    1.811e-03    4.021e-05     54.40     0.09
